"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,1,0,1
"3",1,1,1,1,2,0,0,1,3,4
"4",0,1,0,0,1,0,1,1,0,1
"5",0,0,0,0,0,1,0,1,1,0
"6",0,1,0,0,1,0,0,0,1,1
"7",0,0,0,0,0,0,0,4,0,1
"8",0,2,0,1,1,0,0,2,2,3
"9",0,0,0,0,0,0,0,0,0,0
"10",1,1,0,0,0,0,0,1,1,0
"11",0,0,0,0,0,0,0,3,0,4
"12",0,0,0,0,0,0,0,0,0,1
"13",0,1,0,0,0,0,0,0,1,0
"14",0,0,0,0,0,0,0,0,1,2
"15",2,1,0,1,0,1,0,0,2,3
"16",1,0,0,0,0,0,0,0,2,1
"17",0,0,0,0,0,0,0,0,0,1
"18",0,0,0,0,0,0,0,0,0,0
"19",1,2,1,1,1,1,0,1,1,1
"20",1,2,0,1,0,2,0,2,2,4
"21",0,0,1,0,0,0,0,2,1,1
"22",0,0,1,0,0,0,0,0,0,0
"23",0,1,1,0,1,1,1,1,2,1
"24",1,0,0,0,0,1,0,1,1,1
"25",0,0,0,0,0,0,0,0,0,0
"26",0,1,0,0,1,0,0,1,1,2
"27",0,3,0,0,2,0,2,2,0,3
"28",0,1,0,0,0,0,0,1,0,1
"29",0,0,0,0,0,0,0,0,0,1
"30",0,1,0,0,0,0,0,1,0,0
"31",1,1,1,2,1,2,1,1,2,2
"32",1,1,1,1,1,1,1,1,1,1
"33",4,1,3,5,0,4,0,1,7,2
"34",0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,1,0,0,1,1,1
"36",0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,1,0,0
"38",0,0,0,0,0,0,0,0,0,0
"39",2,3,2,3,4,3,2,6,3,6
"40",0,0,0,0,0,0,0,1,0,1
"41",0,0,0,0,0,0,0,1,1,1
"42",0,0,0,0,0,0,0,0,0,1
"43",1,1,1,1,1,1,0,1,1,1
"44",0,1,0,0,1,0,1,1,0,1
"45",0,1,0,0,1,0,0,2,0,5
"46",0,0,0,0,0,0,0,0,0,0
"47",0,4,0,1,4,1,3,3,1,8
"48",0,3,2,1,3,1,2,2,1,3
"49",1,0,0,0,0,0,0,1,1,0
"50",0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0
"52",1,1,0,2,1,1,0,3,2,3
"53",0,1,0,1,1,0,0,1,0,1
"54",0,1,0,0,0,0,0,1,0,1
"55",0,2,0,0,0,0,0,0,0,0
"56",0,1,0,0,0,0,1,1,0,1
"57",0,1,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,1,0,0,0,0
"59",1,0,0,1,0,1,0,2,2,1
"60",0,0,0,0,0,0,0,0,0,0
"61",0,1,0,0,1,1,0,1,1,1
"62",0,1,0,0,1,0,1,2,0,3
"63",0,0,0,0,0,0,0,0,0,0
"64",0,0,0,1,0,1,0,0,1,0
"65",1,3,0,0,2,1,2,3,1,2
"66",0,1,1,0,0,0,0,0,1,0
"67",0,0,0,0,0,0,0,0,0,0
"68",0,1,0,0,0,0,0,0,0,0
"69",0,1,0,1,0,0,0,1,1,1
"70",1,0,1,1,0,0,0,0,2,1
"71",0,1,0,0,2,0,0,1,0,2
"72",0,1,0,0,0,0,0,1,0,1
"73",0,0,0,0,0,0,0,0,0,0
"74",0,0,0,1,0,0,0,0,0,1
"75",0,0,0,0,0,0,0,0,0,1
"76",0,1,0,0,1,0,0,0,1,1
"77",0,0,0,0,0,0,0,1,0,3
"78",0,0,0,0,0,0,0,0,0,0
"79",1,2,0,1,2,2,1,4,3,3
"80",1,0,1,1,0,1,0,0,1,0
"81",0,1,0,0,0,0,0,1,0,2
"82",0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,1
"84",1,0,0,1,0,1,0,1,1,1
"85",0,2,0,0,0,0,0,0,0,1
"86",0,0,0,0,0,0,0,0,0,1
"87",1,0,1,1,1,0,0,0,1,1
"88",1,1,1,0,1,0,1,3,0,1
"89",0,1,0,0,0,0,0,1,0,0
"90",2,0,0,0,0,0,0,1,3,2
"91",0,0,0,0,1,0,0,2,2,2
"92",0,0,0,0,0,0,0,0,1,0
"93",0,0,0,1,0,0,0,1,0,1
"94",3,2,0,2,0,2,0,3,4,3
"95",0,1,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,1,0,2
"97",0,1,0,0,0,0,0,0,1,1
"98",7,2,4,6,1,1,2,3,7,4
"99",0,0,0,0,0,0,0,2,0,2
"100",0,1,0,0,0,0,0,1,0,2
"101",0,1,0,0,0,0,0,1,0,1
"102",0,1,0,0,0,0,0,0,0,0
"103",0,1,0,1,1,1,0,1,1,3
"104",0,0,0,0,0,1,0,0,1,0
"105",1,0,1,1,0,2,0,1,1,3
"106",0,1,0,0,1,0,0,1,0,1
"107",0,1,0,0,0,0,0,0,0,1
"108",0,0,0,0,0,0,0,0,1,1
"109",0,0,0,0,0,0,0,3,0,3
"110",0,1,1,0,0,0,0,0,1,0
"111",0,0,0,0,0,0,0,0,1,0
"112",0,0,0,0,0,0,0,0,0,0
"113",1,4,3,2,4,0,2,6,4,5
"114",0,1,0,0,0,0,0,0,0,1
"115",0,1,0,0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0,0,0,1
"117",0,0,0,0,0,0,0,0,0,1
"118",1,1,1,1,1,2,1,1,1,2
"119",1,1,0,0,2,1,1,4,1,3
"120",0,2,0,0,0,0,0,1,0,3
"121",2,1,0,1,2,2,1,2,2,6
"122",0,1,0,1,1,0,0,1,0,3
"123",1,0,0,1,0,1,0,1,1,1
"124",0,1,0,0,1,0,0,2,1,3
"125",0,0,0,0,0,0,0,0,1,0
"126",3,0,0,3,0,2,0,2,3,1
"127",0,1,0,1,1,0,0,1,0,1
"128",0,0,0,0,0,1,0,1,1,2
"129",0,0,0,0,0,0,0,0,0,0
"130",0,0,2,0,0,1,0,1,1,0
"131",0,3,0,0,0,0,0,3,1,4
"132",0,1,0,0,0,0,0,0,0,1
"133",0,1,0,0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0,0,0,0
"135",0,0,1,0,0,0,2,1,3,0
"136",0,0,0,0,0,0,0,0,0,0
"137",1,1,1,2,0,2,0,1,3,1
"138",1,0,1,1,0,0,0,0,2,3
"139",1,0,0,1,0,0,0,0,3,1
"140",0,0,0,0,0,0,0,1,0,1
"141",0,1,0,0,0,0,0,0,0,1
"142",1,1,1,2,1,3,1,2,2,2
"143",0,1,0,1,0,1,0,0,1,1
"144",0,2,0,0,1,0,0,1,0,2
"145",0,0,0,1,0,1,0,1,1,3
"146",0,0,0,1,0,1,0,0,1,0
"147",0,0,0,0,0,0,0,0,0,1
"148",0,0,0,0,1,0,0,0,0,1
"149",0,0,0,0,0,0,1,2,0,0
"150",0,0,0,0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0,0
"152",0,1,0,0,0,0,0,4,0,2
"153",0,0,0,0,0,0,0,0,0,0
"154",0,0,0,0,0,0,0,0,0,0
"155",1,0,0,0,0,0,0,0,1,0
"156",0,0,0,0,0,0,0,0,0,1
"157",0,0,0,0,0,0,0,0,1,0
"158",0,0,0,0,0,0,0,1,0,0
"159",0,0,0,0,0,0,0,0,0,0
"160",2,2,1,1,2,1,1,3,3,4
"161",0,0,0,0,0,0,0,1,0,0
"162",1,0,0,1,0,1,0,0,1,1
"163",0,1,0,0,1,0,1,1,0,1
"164",0,0,0,0,0,0,0,2,0,1
"165",0,1,0,0,0,0,0,0,1,0
"166",0,0,1,1,0,1,0,0,1,1
"167",0,0,0,0,0,0,0,1,0,1
"168",0,0,1,0,0,0,0,1,1,1
"169",0,2,1,1,1,1,0,1,3,1
"170",0,1,0,0,1,0,1,1,0,1
"171",0,1,0,0,1,0,1,1,1,1
"172",2,0,1,3,0,2,0,1,4,2
"173",0,0,0,0,0,0,0,0,0,0
"174",0,1,2,1,0,1,0,0,1,1
"175",1,1,0,0,1,2,1,1,2,2
"176",0,0,0,0,0,0,0,0,0,0
"177",1,0,0,1,0,0,0,0,0,1
"178",0,1,0,0,0,0,0,2,0,4
"179",0,0,0,0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0,1,0,3
"182",1,1,1,2,2,2,3,2,3,2
"183",0,0,0,0,0,0,0,1,0,0
"184",0,1,0,1,1,0,0,1,0,2
"185",0,0,0,1,0,0,0,1,0,0
"186",0,1,0,1,0,0,0,1,2,1
"187",1,2,1,1,0,1,0,2,2,3
"188",0,2,0,0,3,0,0,5,1,4
"189",0,0,0,0,0,0,0,0,0,0
"190",1,1,0,1,0,0,0,0,2,0
"191",0,0,0,0,0,0,0,0,0,0
"192",0,1,0,0,0,1,1,1,1,1
"193",0,1,0,0,0,0,0,1,1,1
"194",0,0,0,0,0,0,0,0,0,0
"195",0,0,0,0,0,0,0,0,0,0
"196",0,0,0,1,0,0,0,0,1,2
"197",0,0,0,0,0,0,0,0,0,0
"198",0,0,0,0,0,0,0,0,0,2
"199",0,0,1,0,0,0,0,1,3,0
"200",0,0,0,0,0,0,0,0,0,0
"201",0,1,0,0,1,0,0,1,0,1
"202",0,1,0,0,0,1,0,2,1,4
"203",0,1,0,0,1,0,0,1,0,1
"204",0,0,0,0,1,0,0,1,0,2
